,CGPA,Percentage,Depressed,Total
0,-1.0,8.13,8147,100187
1,10.0,48.0,24,50
2,5.0,52.98,71,134
3,5.1,55.74,296,531
4,5.2,55.05,109,198
5,5.3,59.33,248,418
6,5.4,52.51,167,318
7,5.5,54.69,326,596
8,5.6,57.71,363,629
9,5.7,55.21,482,873
10,5.8,54.89,477,869
11,5.9,50.48,104,206
12,6.0,56.14,274,488
13,6.1,64.36,289,449
14,6.2,63.29,319,504
15,6.3,58.67,257,438
16,6.4,54.0,128,237
17,6.5,55.04,120,218
18,6.6,59.5,97,163
19,6.7,59.36,298,502
20,6.8,55.83,287,514
21,6.9,64.37,206,320
22,7.0,54.33,376,692
23,7.1,58.06,306,527
24,7.2,55.76,392,703
25,7.3,55.61,198,356
26,7.4,54.13,190,351
27,7.5,55.66,285,512
28,7.6,51.88,110,212
29,7.7,55.81,307,550
30,7.8,57.76,372,644
31,7.9,55.93,231,413
32,8.0,64.78,677,1045
33,8.1,62.9,290,461
34,8.2,62.0,310,500
35,8.3,65.86,137,208
36,8.4,65.0,221,340
37,8.5,64.24,521,811
38,8.6,62.42,216,346
39,8.7,63.33,425,671
40,8.8,64.84,142,219
41,8.9,62.92,684,1087
42,9.0,63.79,185,290
43,9.1,54.83,187,341
44,9.2,63.47,365,575
45,9.3,58.88,242,411
46,9.4,57.9,359,620
47,9.5,52.12,196,376
48,9.6,57.35,269,469
49,9.7,59.52,397,667
50,9.8,52.59,314,597
51,9.9,56.52,658,1164
